Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0672813969662091,-0.00768356734881204,0.0187166228013696,0,0,0,0.24290765562894,0.000485374037789049,9.31561310575612E-07,-2.29257203392714E-07,0.000227060332879335,5.35019929742971E-07,0.000349867933471234,0,0,0,0,0,0,package://dorahand_3f/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/base_link.STL,,palm_simple_V5-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_left_back_link,0.00019483352178247,-0.000419440597627267,0.0255853770396552,0,0,0,0.0128902687777299,2.04256915191886E-06,-2.35569386608482E-10,2.18230149240897E-08,2.24144374524628E-06,3.79030764132303E-08,1.28682240367971E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_left_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_left_back_link.STL,,bottom_finger_simple_V5-3,Coordinate System2,Axis1,finger_left_back_joint,revolute,0.0658,-0.0485,0.04,-1.5708,0,-1.5708,base_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
finger_left_middle_link,-0.00150966280924338,-0.0285892179658439,-0.000301559535769803,0,0,0,0.00938838672846468,4.17372164352362E-06,3.10407897337656E-08,-5.89942743314402E-09,5.7956092849583E-07,6.05008829422796E-08,4.38626834146392E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_left_middle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_left_middle_link.STL,,middle_finger_simple_V5-4,Coordinate System5,Axis4,finger_left_middle_joint,revolute,0,0,0.06025,-1.5707963267949,0,0,finger_left_back_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
finger_left_front_link,-0.00592136016421135,-0.0222424596192618,0.000855058948252232,0,0,0,0.0074701176810846,1.42587170186682E-06,-1.74359236069128E-07,1.3857511122677E-09,3.29102027915589E-07,3.24784196535601E-09,1.35794289524286E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_left_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_left_front_link.STL,,tip_finger_simple_V5-3,Coordinate System8,Axis7,finger_left_front_joint,revolute,0,-0.055,0,0,0,0,finger_left_middle_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
finger_right_back_link,-0.000194833521932461,0.000419440596747304,0.0255853770427804,0,0,0,0.0128902687789084,2.04256915214369E-06,-2.35569381481368E-10,-2.18230148748549E-08,2.24144374551552E-06,-3.79030763870544E-08,1.28682240373217E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_right_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_right_back_link.STL,,bottom_finger_simple_V5-2,Coordinate System3,Axis2,finger_right_back_joint,revolute,0.0658000000000001,-0.0484999999999942,-0.0400000005780693,1.57079632679489,0,1.5707963267949,base_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
finger_right_middle_link,-0.00150966146005244,-0.0285892169911503,-0.00070156077883083,0,0,0,0.00938838751621504,4.1737218432932E-06,3.10406336164334E-08,-5.89942209216765E-09,5.79560973474594E-07,6.05008875816039E-08,4.38626858675117E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_right_middle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_right_middle_link.STL,,middle_finger_simple_V5-3,Coordinate System6,Axis5,finger_right_middle_joint,revolute,0,0,0.06025,-1.5707963267949,0,3.14159265358979,finger_right_back_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
finger_right_front_link,-0.00592136016418708,-0.0222424596193247,0.000455058948168663,0,0,0,0.00747011768113183,1.42587170186701E-06,-1.74359236068841E-07,1.38575111224629E-09,3.29102027916696E-07,3.24784196543285E-09,1.35794289524404E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_right_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_right_front_link.STL,,tip_finger_simple_V5-2,Coordinate System9,Axis8,finger_right_front_joint,revolute,0,-0.055,0,0,0,0,finger_right_middle_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
finger_middle_back_link,-0.000194833997355502,0.000419436995211427,0.0255853701766141,0,0,0,0.012890265520984,2.0425689867734E-06,-2.35571463557394E-10,-2.18229934972707E-08,2.24144377873853E-06,-3.79030113681871E-08,1.28682249558977E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_middle_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_middle_back_link.STL,,bottom_finger_simple_V5-1,Coordinate System4,Axis3,finger_middle_back_joint,fixed,0.0658,0.0485000000000115,0,-1.57079632679489,0,-1.5707963267949,base_link,0,0,0,0,0,-1.5708,1.5708,,,,,,,,
finger_middle_middle_link,-0.00150979108016121,0.0285890700545292,0.000301729931564307,0,0,0,0.00938825949148075,4.17369565406504E-06,-3.10277422459172E-08,5.89605554453313E-09,5.79552540822107E-07,6.04947010219042E-08,4.38623686379646E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_middle_middle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_middle_middle_link.STL,,middle_finger_simple_V5-2,Coordinate System7,Axis6,finger_middle_middle_joint,revolute,0,0,0.06025,1.5707963267949,0,3.14159265358979,finger_middle_back_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
finger_middle_front_link,0.00592136034733081,-0.022242462437103,-0.000855059709843302,0,0,0,0.00747011723813315,1.4258720066274E-06,1.74359302544949E-07,1.38575179648268E-09,3.29102005090482E-07,-3.24785673718493E-09,1.3579431792442E-06,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_middle_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dorahand_3f/meshes/finger_middle_front_link.STL,,tip_finger_simple_V5-1,Coordinate System10,Axis9,finger_middle_front_joint,revolute,0,0.055,0,0,0,-3.14159265358979,finger_middle_middle_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
